trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_loop.thisRepN,image_loop.thisTrialN,image_loop.thisN,image_loop.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,distance matrix,tools,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,consent_image_0.started,consent0_key_resp.started,consent0_text.started,consent0_key_resp.keys,consent0_key_resp.rt,consent_image_1.started,consent1_key_resp.started,consent1_text.started,consent1_key_resp.keys,consent1_key_resp.rt,consent2_text.started,consent_image_2.started,consent2_key_resp.started,consent2_key_resp.keys,consent2_key_resp.rt,agree_button.started,disagree_button.started,consent_image_3.started,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions_text2.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions_text3.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions3_key_resp.keys,instructions3_key_resp.rt,text_countdown.started,image.started,small_large_keyresp.started,task_question_text.started,smalleroption_text.started,largeroption_text.started,accuracy_score_text.started,small_large_keyresp.keys,small_large_keyresp.corr,small_large_keyresp.rt,fb_2.started,fb_2.stopped,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,reveal_seq_text.started,start_test_text.started,continue_to_test.started,continue_to_test.keys,continue_to_test.rt,test_structure_info.started,start_test_text_2.started,continue_to_test_2.started,continue_to_test_2.keys,continue_to_test_2.rt,test_cntdown_text.started,parent index,left child index,right child index,left distance,right distance,parent_image.started,top_image_text.started,left_child_image.started,right_child_image.started,path_resp.started,child_choice_text.started,left_choice_text.started,right_choice_text.started,path_resp.keys,path_resp.rt,graph.started,debrief_text.started,debriefing_title.started,demo_scr_adv.started,demo_scr_adv_keypress.started,demo_scr_adv_keypress.keys,demo_scr_adv_keypress.rt,text_countdown_2.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,"[[0. 1. 1. 2. 2. 3. 4. 5. 5. 6. 6. 7.]
 [1. 0. 2. 1. 1. 2. 3. 4. 4. 5. 5. 6.]
 [1. 2. 0. 1. 1. 2. 3. 4. 4. 5. 5. 6.]
 [2. 1. 1. 0. 1. 1. 2. 3. 3. 4. 4. 5.]
 [2. 1. 1. 1. 0. 1. 2. 3. 3. 4. 4. 5.]
 [3. 2. 2. 1. 1. 0. 1. 2. 2. 3. 3. 4.]
 [4. 3. 3. 2. 2. 1. 0. 1. 1. 2. 2. 3.]
 [5. 4. 4. 3. 3. 2. 1. 0. 1. 1. 1. 2.]
 [5. 4. 4. 3. 3. 2. 1. 1. 0. 1. 1. 2.]
 [6. 5. 5. 4. 4. 3. 2. 1. 1. 0. 2. 1.]
 [6. 5. 5. 4. 4. 3. 2. 1. 1. 2. 0. 1.]
 [7. 6. 6. 5. 5. 4. 3. 2. 2. 1. 1. 0.]]",[ 7 10  6  1  3  4  5  9 11  0  8  2],8.981529833283275,8.981529833283275,return,39.90728914109059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
,,,,,,,,,,,,,,,,,,,,,,48.901031419518404,48.901031419518404,48.901031419518404,space,2.7558865977916867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
,,,,,,,,,,,,,,,,,,,,,,,,,,,51.667920348001644,51.667920348001644,51.667920348001644,space,0.556975670508109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.23463329824153,52.23463329824153,52.23463329824153,space,0.5342699525645003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.79301339306403,52.79301339306403,52.79301339306403,1,[2.083275730488822],[2.0832796545000747],0,,,54.868185371742584,56.86001249658875,56.86001249658875,space,1.9560094504849985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.82683864037972,61.8187472645659,61.8187472645659,space,13.468616493861191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.30317515414208,78.29509313567542,78.29509313567542,space,11.47955159319099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.79603762249462,94.84646247560158,94.84646247560158,94.84646247560158,94.84646247560158,94.84646247560158,94.84646247560158,l,1,1.6003523393301293,96.46327518706676,97.48835887480527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.48835887480527,97.48835887480527,97.48835887480527,97.48835887480527,97.48835887480527,97.48835887480527,s,0,1.2944382034474984,98.79678349243477,99.82187533017714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82187533017714,99.82187533017714,99.82187533017714,99.82187533017714,99.82187533017714,99.82187533017714,l,1,0.8009976934408769,100.63858058326878,101.66369355039205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.66369355039205,101.66369355039205,101.66369355039205,101.66369355039205,101.66369355039205,101.66369355039205,s,1,0.9822347328299657,102.6554346481571,103.68888016883284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.68888016883284,103.68888016883284,103.68888016883284,103.68888016883284,103.68888016883284,103.68888016883284,s,1,1.4130608041305095,105.11397049727384,106.13904965727124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.13904965727124,106.13904965727124,106.13904965727124,106.13904965727124,106.13904965727124,106.13904965727124,l,1,0.8749749520793557,107.02247419941705,108.0558922518976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0558922518976,108.0558922518976,108.0558922518976,108.0558922518976,108.0558922518976,108.0558922518976,l,1,0.7421449024695903,108.81427627068479,109.84770881186705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.84770881186705,109.84770881186705,109.84770881186705,109.84770881186705,109.84770881186705,109.84770881186705,s,1,0.7583623668178916,110.61443745833822,111.64787060325034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.64787060325034,111.64787060325034,111.64787060325034,111.64787060325034,111.64787060325034,111.64787060325034,l,1,0.46222181362099946,112.12288954423275,113.14797836344223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,2023-05-16_14h03.22.455,eb_02psyexp,2022.2.4,120.01688179535188,
