trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_loop.thisRepN,image_loop.thisTrialN,image_loop.thisN,image_loop.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,tool,correct_answer,tools,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,consent_image_0.started,consent0_key_resp.started,consent0_text.started,consent0_key_resp.keys,consent0_key_resp.rt,consent_image_1.started,consent1_key_resp.started,consent1_text.started,consent1_key_resp.keys,consent1_key_resp.rt,consent2_text.started,consent_image_2.started,consent2_key_resp.started,consent2_key_resp.keys,consent2_key_resp.rt,agree_button.started,disagree_button.started,consent_image_3.started,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions_text2.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions_text3.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions3_key_resp.keys,instructions3_key_resp.rt,text_countdown.started,image.started,small_large_keyresp.started,task_question_text.started,smalleroption_text.started,largeroption_text.started,accuracy_score_text.started,small_large_keyresp.keys,small_large_keyresp.corr,small_large_keyresp.rt,fb_2.started,fb_2.stopped,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,[ 4  7 11  5  3  8  9  0  1  2 10  6],13.69424342957791,13.69424342957791,return,7.475062774145044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
,,,,,,,,,,,,,,,,,,,21.177853910950944,21.177853910950944,21.177853910950944,space,40.230228776228614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
,,,,,,,,,,,,,,,,,,,,,,,,61.422786613577046,61.422786613577046,61.422786613577046,space,10.320496245054528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.75696864689235,71.75696864689235,71.75696864689235,space,8.521480274270289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.29932838503737,80.29932838503737,80.29932838503737,1,[3.291709101642482],[3.2917139312485233],0,,,83.58294158312492,85.57476538757328,85.57476538757328,space,1.2398019309621304,,,,,,,,,,,,,,,,,,,,,,,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.82486877101474,89.81678705429658,89.81678705429658,space,15.48516990058124,,,,,,,,,,,,,,,,,,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.31807202729397,108.3100340787787,108.3100340787787,space,8.327155647217296,,,,,,,,,,,,,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.66070101514924,121.70279331470374,121.70279331470374,121.70279331470374,121.70279331470374,121.70279331470374,121.70279331470374,l,0,4.189591994741932,125.90314013964962,126.93656090868171,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.93656090868171,126.93656090868171,126.93656090868171,126.93656090868171,126.93656090868171,126.93656090868171,l,1,1.2598728052107617,128.21166829171125,129.2451150197303,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.2451150197303,129.2451150197303,129.2451150197303,129.2451150197303,129.2451150197303,129.2451150197303,s,1,1.23137912445236,130.48688222747296,131.52029092248995,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.52029092248995,131.52029092248995,131.52029092248995,131.52029092248995,131.52029092248995,131.52029092248995,l,1,0.6842359784059227,132.22033982211724,133.2371009173803,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.2371009173803,133.2371009173803,133.2371009173803,133.2371009173803,133.2371009173803,133.2371009173803,s,1,1.0874419212341309,134.33718452963512,135.3706270318944,,,,,548,2023-05-15_10h32.40.081,eb_02psyexp,2022.2.4,119.99818897745351,
