trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_loop.thisRepN,image_loop.thisTrialN,image_loop.thisN,image_loop.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,distance matrix,tools,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,consent_image_0.started,consent0_key_resp.started,consent0_text.started,consent0_key_resp.keys,consent0_key_resp.rt,consent_image_1.started,consent1_key_resp.started,consent1_text.started,consent1_key_resp.keys,consent1_key_resp.rt,consent2_text.started,consent_image_2.started,consent2_key_resp.started,consent2_key_resp.keys,consent2_key_resp.rt,agree_button.started,disagree_button.started,consent_image_3.started,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions_text2.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions_text3.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions3_key_resp.keys,instructions3_key_resp.rt,text_countdown.started,image.started,small_large_keyresp.started,task_question_text.started,smalleroption_text.started,largeroption_text.started,accuracy_score_text.started,small_large_keyresp.keys,small_large_keyresp.corr,small_large_keyresp.rt,fb_2.started,fb_2.stopped,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,reveal_seq_text.started,start_test_text.started,continue_to_test.started,continue_to_test.keys,continue_to_test.rt,test_structure_info.started,start_test_text_2.started,continue_to_test_2.started,continue_to_test_2.keys,continue_to_test_2.rt,test_cntdown_text.started,test_cntdown_text.stopped,parent index,left child index,right child index,left distance,right distance,parent_image.started,top_image_text.started,left_child_image.started,right_child_image.started,path_resp.started,child_choice_text.started,left_choice_text.started,right_choice_text.started,path_resp.keys,path_resp.rt,graph.started,debrief_text.started,debriefing_title.started,demo_scr_adv.started,demo_scr_adv_keypress.started,demo_scr_adv_keypress.keys,demo_scr_adv_keypress.rt,text_countdown_2.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,"[[0. 1. 1. 2. 2. 3. 4. 5. 5. 6. 6. 7.]
 [1. 0. 2. 1. 1. 2. 3. 4. 4. 5. 5. 6.]
 [1. 2. 0. 1. 1. 2. 3. 4. 4. 5. 5. 6.]
 [2. 1. 1. 0. 1. 1. 2. 3. 3. 4. 4. 5.]
 [2. 1. 1. 1. 0. 1. 2. 3. 3. 4. 4. 5.]
 [3. 2. 2. 1. 1. 0. 1. 2. 2. 3. 3. 4.]
 [4. 3. 3. 2. 2. 1. 0. 1. 1. 2. 2. 3.]
 [5. 4. 4. 3. 3. 2. 1. 0. 1. 1. 1. 2.]
 [5. 4. 4. 3. 3. 2. 1. 1. 0. 1. 1. 2.]
 [6. 5. 5. 4. 4. 3. 2. 1. 1. 0. 2. 1.]
 [6. 5. 5. 4. 4. 3. 2. 1. 1. 2. 0. 1.]
 [7. 6. 6. 5. 5. 4. 3. 2. 2. 1. 1. 0.]]",[ 2  4  0  8 10  7 11  3  5  1  6  9],143.2177069556201,143.2177069556201,return,11.224984903121367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
,,,,,,,,,,,,,,,,,,,,,,154.46677410346456,154.46677410346456,154.46677410346456,space,6.655913396622054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
,,,,,,,,,,,,,,,,,,,,,,,,,,,161.14955849130638,161.14955849130638,161.14955849130638,space,0.7811452890746295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.94949226651806,161.94949226651806,161.94949226651806,space,0.4532054237788543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.43275254324544,162.43275254324544,162.43275254324544,1,[4.232316859997809],[4.232321689487435],0,,,166.66547266824637,168.64896295091603,168.64896295091603,space,3.2328229136765003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.89871558896266,174.88183550781105,174.88183550781105,space,11.662969628465362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.56419157749042,189.5472991206916,189.5472991206916,space,15.116639128769748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.71275065967347,209.74569191643968,209.74569191643968,209.74569191643968,209.74569191643968,209.74569191643968,209.74569191643968,l,1,0.9492959267226979,210.71227283903863,211.74552288325503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.74552288325503,211.74552288325503,211.74552288325503,211.74552288325503,211.74552288325503,211.74552288325503,s,1,0.7814486433053389,212.545455451007,213.56206870113965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.56206870113965,213.56206870113965,213.56206870113965,213.56206870113965,213.56206870113965,213.56206870113965,s,1,0.7648794625420123,214.34533066826407,215.3615964947967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,2023-05-17_08h57.56.232,eb_02psyexp,2022.2.4,60.00094177748286,
