trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_loop.thisRepN,image_loop.thisTrialN,image_loop.thisN,image_loop.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,distance matrix,tools,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,consent_image_0.started,consent0_key_resp.started,consent0_text.started,consent0_key_resp.keys,consent0_key_resp.rt,consent_image_1.started,consent1_key_resp.started,consent1_text.started,consent1_key_resp.keys,consent1_key_resp.rt,consent2_text.started,consent_image_2.started,consent2_key_resp.started,consent2_key_resp.keys,consent2_key_resp.rt,agree_button.started,disagree_button.started,consent_image_3.started,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions_text2.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions_text3.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions3_key_resp.keys,instructions3_key_resp.rt,text_countdown.started,image.started,small_large_keyresp.started,task_question_text.started,smalleroption_text.started,largeroption_text.started,accuracy_score_text.started,small_large_keyresp.keys,small_large_keyresp.corr,small_large_keyresp.rt,fb_2.started,fb_2.stopped,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,reveal_seq_text.started,start_test_text.started,continue_to_test.started,continue_to_test.keys,continue_to_test.rt,test_structure_info.started,start_test_text_2.started,continue_to_test_2.started,continue_to_test_2.keys,continue_to_test_2.rt,test_cntdown_text.started,test_cntdown_text.stopped,parent index,left child index,right child index,left distance,right distance,parent_image.started,top_image_text.started,left_child_image.started,right_child_image.started,path_resp.started,child_choice_text.started,left_choice_text.started,right_choice_text.started,path_resp.keys,path_resp.rt,graph.started,debrief_text.started,debriefing_title.started,demo_scr_adv.started,demo_scr_adv_keypress.started,demo_scr_adv_keypress.keys,demo_scr_adv_keypress.rt,text_countdown_2.started,text_countdown_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,"[[0. 1. 1. 2. 2. 3. 4. 5. 5. 6. 6. 7.]
 [1. 0. 2. 1. 1. 2. 3. 4. 4. 5. 5. 6.]
 [1. 2. 0. 1. 1. 2. 3. 4. 4. 5. 5. 6.]
 [2. 1. 1. 0. 1. 1. 2. 3. 3. 4. 4. 5.]
 [2. 1. 1. 1. 0. 1. 2. 3. 3. 4. 4. 5.]
 [3. 2. 2. 1. 1. 0. 1. 2. 2. 3. 3. 4.]
 [4. 3. 3. 2. 2. 1. 0. 1. 1. 2. 2. 3.]
 [5. 4. 4. 3. 3. 2. 1. 0. 1. 1. 1. 2.]
 [5. 4. 4. 3. 3. 2. 1. 1. 0. 1. 1. 2.]
 [6. 5. 5. 4. 4. 3. 2. 1. 1. 0. 2. 1.]
 [6. 5. 5. 4. 4. 3. 2. 1. 1. 2. 0. 1.]
 [7. 6. 6. 5. 5. 4. 3. 2. 2. 1. 1. 0.]]",[ 8 10  2  5  3  7  6  4  1  0  9 11],27.05437919823453,27.05437919823453,return,6.6226838869042695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
,,,,,,,,,,,,,,,,,,,,,,33.703817856963724,33.703817856963724,33.703817856963724,space,1.301231577526778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,35.037047858699225,35.037047858699225,35.037047858699225,space,0.4560041402000934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.520364278694615,35.520364278694615,35.520364278694615,space,0.4126908837351948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.953661954030395,35.953661954030395,35.953661954030395,1,[12.915149844950065],[12.915154070709832],0,,,48.86902973114047,50.852517599007115,50.852517599007115,space,1.2796369782881811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.152426321059465,55.13554382510483,55.13554382510483,space,1.0206318838754669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.185440322500654,59.168561146827415,59.168561146827415,space,1.051607827306725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.26845495775342,65.30141824914608,65.30141824914608,65.30141824914608,65.30141824914608,65.30141824914608,65.30141824914608,s,1,1.0617953998735175,66.38464145932812,67.4012685943162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4012685943162,67.4012685943162,67.4012685943162,67.4012685943162,67.4012685943162,67.4012685943162,l,1,0.698000869480893,68.11786445823964,69.13445808843244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.13445808843244,69.13445808843244,69.13445808843244,69.13445808843244,69.13445808843244,69.13445808843244,l,1,1.812800996704027,70.96763134328648,71.98425727093127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,2023-05-17_10h34.48.207,eb_02psyexp,2022.2.4,60.007136460675696,
