alpha,gamma,entropy
0.01,0.01,0.06449673447624837
0.01,0.01,0.07297562284351411
0.01,0.01,0.051726450812473956
0.01,0.01,0.021183222469025154
0.01,0.01,0.07970442793136101
0.01,0.01,0.045161327702990306
0.01,0.01,0.037878608073871334
0.01,0.01,-0.03845047427016368
0.01,0.01,-0.02917362977179394
0.01,0.01,-0.05720011667963121
0.01,0.01,-0.0737503582515977
0.01,0.01,-0.062146111309054675
0.01,0.01,-0.08335273880357619
0.01,0.01,-0.06675648524084465
0.01,0.01,-0.10963317913159898
0.01,0.01,-0.09028141982462046
0.01,0.01,-0.08192450897260528
0.01,0.01,-0.11764722393516536
0.01,0.01,-0.17180450453133744
0.01,0.01,-0.13934899114681798
0.01,0.01,-0.13815993442895547
0.01,0.01,-0.148913492516904
0.01,0.01,-0.11545704608024465
0.01,0.01,-0.0917388687500349
0.01,0.01,-0.0676250656046804
0.01,0.01,-0.11069646970770464
0.01,0.01,-0.1502630347999201
0.01,0.01,-0.08300125224882038
0.01,0.01,-0.016609982776529364
0.01,0.01,0.05566764570332339
0.01,0.01,0.04349953541263574
0.01,0.01,0.06130842899857214
0.01,0.01,0.030893858979496258
0.01,0.01,0.07126498818568905
0.01,0.01,0.06354049445171484
0.01,0.01,0.04809913038236857
0.01,0.01,0.05367523056165169
0.01,0.01,0.09138565898362572
0.01,0.01,0.13360410731733907
0.01,0.01,0.08935892291646041
0.01,0.01,0.1325304093295756
0.01,0.01,0.14880510323919793
0.01,0.01,0.1655603967017214
0.01,0.01,0.20585281921289322
0.01,0.01,0.24648571132820507
0.01,0.01,0.24895304738612367
0.01,0.01,0.31558908992435875
0.01,0.01,0.3596254326514128
0.01,0.01,0.34156729631804694
0.01,0.01,0.3090517630648577
0.01,0.01,0.3249268000454748
0.01,0.01,0.3610828251380127
0.01,0.01,0.31300975190505653
0.01,0.01,0.33827976428395345
0.01,0.01,0.39284739460390483
0.01,0.01,0.41659162256135573
0.01,0.01,0.38517488917639753
0.01,0.01,0.34457836667186825
0.01,0.01,0.35062963643110834
0.01,0.01,0.30056003839135315
0.01,0.01,0.29462198407165374
0.01,0.01,0.27360201954377317
0.01,0.01,0.287748656704764
0.01,0.01,0.30668135323770684
0.01,0.01,0.31054607054505823
0.01,0.01,0.26637583632918904
0.01,0.01,0.21481223268142458
0.01,0.01,0.2659475768421373
0.01,0.01,0.21467887924544016
0.01,0.01,0.23812923122451934
0.01,0.01,0.249238825138832
0.01,0.01,0.2346172416297918
0.01,0.01,0.23847941923196458
0.01,0.01,0.2508447850790674
0.01,0.01,0.22345493863167576
0.01,0.01,0.23604960431845257
0.01,0.01,0.21184146519266278
0.01,0.01,0.18819174858913357
0.01,0.01,0.1575346502532966
0.01,0.01,0.10708216535152815
0.01,0.01,0.11379008627429243
0.01,0.01,0.13653110223222598
0.01,0.01,0.17179117112939934
0.01,0.01,0.20874510813570168
0.01,0.01,0.2792749933580012
0.01,0.01,0.28012996118468436
0.01,0.01,0.3061936960439766
0.01,0.01,0.34195997556597035
0.01,0.01,0.30348585530543915
0.01,0.01,0.30705935388527905
0.01,0.01,0.33229473303165946
0.01,0.01,0.35402183448201185
0.01,0.01,0.3417969105505847
0.01,0.01,0.3759424345193736
0.01,0.01,0.28094083382106305
0.01,0.01,0.2279057309125676
0.01,0.01,0.2657464281418811
0.01,0.01,0.220330150925804
0.01,0.01,0.23056374705058147
0.01,0.01,0.24101767333499424
0.01,0.05,0.06281424944335745
0.01,0.05,0.07397219647676057
0.01,0.05,0.05755938241858516
0.01,0.05,0.030378051721314137
0.01,0.05,0.08983068736680799
0.01,0.05,0.06092183313833743
0.01,0.05,0.05714958209183507
0.01,0.05,-0.014084172275797613
0.01,0.05,-0.004278550784238888
0.01,0.05,-0.027210833100191678
0.01,0.05,-0.04055782528575236
0.01,0.05,-0.02556910151534808
0.01,0.05,-0.0446844131538775
0.01,0.05,-0.027641286504668017
0.01,0.05,-0.06613106764777399
0.01,0.05,-0.0444109073280714
0.01,0.05,-0.03356806156745051
0.01,0.05,-0.0638013015034744
0.01,0.05,-0.11275699133991424
0.01,0.05,-0.0800442781101367
0.01,0.05,-0.07549514981634786
0.01,0.05,-0.08391477027450378
0.01,0.05,-0.048412306214686396
0.01,0.05,-0.02325959896035812
0.01,0.05,0.0037567629064554353
0.01,0.05,-0.035195228537425294
0.01,0.05,-0.07031702216428926
0.01,0.05,-0.0049966768543185935
0.01,0.05,0.05983996201977959
0.01,0.05,0.12954618556319986
0.01,0.05,0.11972675852206294
0.01,0.05,0.13764601738296278
0.01,0.05,0.11063422537922918
0.01,0.05,0.15077788339600318
0.01,0.05,0.14644371041129034
0.01,0.05,0.13574028596283938
0.01,0.05,0.14359960733516175
0.01,0.05,0.1817086502175158
0.01,0.05,0.22480579453663552
0.01,0.05,0.1866309781244695
0.01,0.05,0.2297195427949532
0.01,0.05,0.24809589542546462
0.01,0.05,0.2657048131026727
0.01,0.05,0.30563461508732814
0.01,0.05,0.3473109282184339
0.01,0.05,0.35113709788571157
0.01,0.05,0.41557611510356196
0.01,0.05,0.45945844131776425
0.01,0.05,0.44398225832836147
0.01,0.05,0.41618413626260065
0.01,0.05,0.4320984420069891
0.01,0.05,0.4673221439868058
0.01,0.05,0.42540854916950366
0.01,0.05,0.45274867898831417
0.01,0.05,0.5083164947373575
0.01,0.05,0.5343669935224113
0.01,0.05,0.507712576973887
0.01,0.05,0.47094803103772165
0.01,0.05,0.47982552418415025
0.01,0.05,0.43663267922573823
0.01,0.05,0.4335649500804095
0.01,0.05,0.41584539696535217
0.01,0.05,0.43171064986205465
0.01,0.05,0.45186944475733526
0.01,0.05,0.4574090746271793
0.01,0.05,0.4194444417732086
0.01,0.05,0.37428110316258767
0.01,0.05,0.42468791644515136
0.01,0.05,0.37810333401870366
0.01,0.05,0.4028919724835873
0.01,0.05,0.4161602576131713
0.01,0.05,0.405553571891204
0.01,0.05,0.41209103532096947
0.01,0.05,0.42667885846643117
0.01,0.05,0.40352759868071075
0.01,0.05,0.41868352621636973
0.01,0.05,0.3985613156520742
0.01,0.05,0.37804037711012484
0.01,0.05,0.35011070743129835
0.01,0.05,0.30767793209662386
0.01,0.05,0.3169081560280631
0.01,0.05,0.3411848511431401
0.01,0.05,0.3775324263181119
0.01,0.05,0.41395288835644806
0.01,0.05,0.48520040327994707
0.01,0.05,0.4893881671151519
0.01,0.05,0.5168209979165965
0.01,0.05,0.5534484777701607
0.01,0.05,0.519814348409767
0.01,0.05,0.5271258372909529
0.01,0.05,0.5540392202601936
0.01,0.05,0.5759169167689606
0.01,0.05,0.5674894926136744
0.01,0.05,0.6011657033916435
0.01,0.05,0.5131443386250396
0.01,0.05,0.4661119848786939
0.01,0.05,0.5036592795508739
0.01,0.05,0.4625469090890135
0.01,0.05,0.4745237698332403
0.01,0.05,0.4847603673440233
0.01,0.1,0.061065170623592735
0.01,0.1,0.07525007491456037
0.01,0.1,0.06415371008437809
0.01,0.1,0.04084027130341639
0.01,0.1,0.10125470431747097
0.01,0.1,0.07816965186028568
0.01,0.1,0.078233433300543
0.01,0.1,0.012894649780619716
0.01,0.1,0.023591804786736503
0.01,0.1,0.0062258667995642725
0.01,0.1,-0.0034730755140159886
0.01,0.1,0.015198187590488743
0.01,0.1,-0.0014572593488217933
0.01,0.1,0.01620841522165506
0.01,0.1,-0.017127254014972948
0.01,0.1,0.007204885895667701
0.01,0.1,0.020693529761622642
0.01,0.1,-0.003610186009687766
0.01,0.1,-0.046983518064287466
0.01,0.1,-0.013688158511769188
0.01,0.1,-0.0055526062995951975
0.01,0.1,-0.01120414549613713
0.01,0.1,0.02653300100144662
0.01,0.1,0.05342651092467321
0.01,0.1,0.08334122136393773
0.01,0.1,0.04925019443165013
0.01,0.1,0.018899745593536466
0.01,0.1,0.08220682080124675
0.01,0.1,0.14566640660008545
0.01,0.1,0.21298974806626347
