alpha,gamma,hop length,entropy
0.01,0.01,1,0.006467692424466431
0.01,0.01,1,0.030410500429701948
0.01,0.01,1,0.00043956929556854263
0.01,0.01,1,-0.0010622562226174637
0.01,0.01,1,-0.008084884643619006
0.01,0.01,1,0.03685169350502404
0.01,0.01,1,-0.010911041167791513
0.01,0.01,1,-0.00860364336011843
0.01,0.01,1,-0.01676037789485285
0.01,0.01,1,0.0037116671846697535
0.01,0.01,1,0.01900232524045542
0.01,0.01,1,0.0015868126367610813
0.01,0.01,1,-0.014222939642891674
0.01,0.01,1,0.023155161232456756
0.01,0.01,1,0.01850455477478974
0.01,0.01,1,-0.031113172383407495
0.01,0.01,1,-0.0038343639326727796
0.01,0.01,1,-0.0339788647439625
0.01,0.01,1,0.03155012313037053
0.01,0.01,1,0.009606684719541736
0.01,0.01,1,-0.01016170365741198
0.01,0.01,1,0.002859630349941078
0.01,0.01,1,-0.007862593153938224
0.01,0.01,1,0.01066954866834724
0.01,0.01,1,0.009378235484642339
0.01,0.01,1,0.012751458635196222
0.01,0.01,1,0.00574123935962767
0.01,0.01,1,-0.004404708202908836
0.01,0.01,1,-0.011936480316872888
0.01,0.01,1,0.016521630399878973
0.01,0.01,1,0.0035748438052713993
0.01,0.01,1,-0.0018574987263115794
0.01,0.01,1,0.01701880478144746
0.01,0.01,1,-0.0030698466113894263
0.01,0.01,1,0.04404647560302477
0.01,0.01,1,0.017858030999357677
0.01,0.01,1,0.0018141893992709157
0.01,0.01,1,-0.006636669251729899
0.01,0.01,1,-0.014210606497969902
0.01,0.01,1,0.001232871829696336
0.01,0.01,1,-0.011835070691077476
0.01,0.01,1,0.001557812771319611
0.01,0.01,1,0.010257540415298472
0.01,0.01,1,-0.02564308718850672
0.01,0.01,1,-0.03240055201899139
0.01,0.01,1,0.0016737498722236843
0.01,0.01,1,-0.006701666028787301
0.01,0.01,1,-0.03276280990446878
0.01,0.01,1,-0.0012180067573481779
0.01,0.01,1,-0.015761966850986298
0.01,0.01,1,-0.0002963947979446324
0.01,0.01,1,-0.01910826251986819
0.01,0.01,1,-0.008452475830760697
0.01,0.01,1,-0.015548103357164944
0.01,0.01,1,0.001555783512722897
0.01,0.01,1,-0.022335716798345118
0.01,0.01,1,-0.0006992927357547529
0.01,0.01,1,0.018003364549937118
0.01,0.01,1,-0.024574057720869735
0.01,0.01,1,-0.016611790179728914
0.01,0.01,1,0.02043521729746267
0.01,0.01,1,-0.0035310257042886484
0.01,0.01,1,-0.021069458753182335
0.01,0.01,1,-0.017835323549985738
0.01,0.01,1,-0.007844499116154147
0.01,0.01,1,-0.017104319236517007
0.01,0.01,1,0.008818149060517033
0.01,0.01,1,-0.004228695860057918
0.01,0.01,1,0.026812069539305483
0.01,0.01,1,-0.013342744936040152
0.01,0.01,1,-0.014906080669551347
0.01,0.01,1,-0.00803892562816877
0.01,0.01,1,-0.026453796197942747
0.01,0.01,1,-0.01795457169110115
0.01,0.01,1,0.008514575217385634
0.01,0.01,1,0.011918734945953968
0.01,0.01,1,3.040160289380367e-05
0.01,0.01,1,-0.022548713847017066
0.01,0.01,1,-0.005256498760256356
0.01,0.01,1,-0.015068093580156372
0.01,0.01,1,0.0008983410449667772
0.01,0.01,1,-0.024778658049529056
0.01,0.01,1,-0.01355941597856214
0.01,0.01,1,0.012341142418164974
0.01,0.01,1,-0.0019246331416837847
0.01,0.01,1,0.01321315271675072
0.01,0.01,1,0.010883260751109791
0.01,0.01,1,-0.0034626215491808665
0.01,0.01,1,-0.02794182165927106
0.01,0.01,1,-0.03703238387871055
0.01,0.01,1,0.04186947030361088
0.01,0.01,1,0.011901471860836121
0.01,0.01,1,0.011857519449221865
0.01,0.01,1,-0.014565693722560002
0.01,0.01,1,0.00556249399320885
0.01,0.01,1,0.012883154099808003
0.01,0.01,1,0.01475948768609614
0.01,0.01,1,0.027360416659406805
0.01,0.01,1,0.021193240471743646
0.01,0.01,1,-0.028574265960100043
0.01,0.01,2,0.006467692424466431
0.01,0.01,2,0.030410500429701948
0.01,0.01,2,0.00043956929556854263
0.01,0.01,2,-0.0010622562226174637
0.01,0.01,2,-0.008084884643619006
0.01,0.01,2,0.03685169350502404
0.01,0.01,2,-0.010911041167791513
0.01,0.01,2,-0.00860364336011843
0.01,0.01,2,-0.01676037789485285
0.01,0.01,2,0.0037116671846697535
0.01,0.01,2,0.01900232524045542
0.01,0.01,2,0.0015868126367610813
0.01,0.01,2,-0.014222939642891674
0.01,0.01,2,0.023155161232456756
0.01,0.01,2,0.01850455477478974
0.01,0.01,2,-0.031113172383407495
0.01,0.01,2,-0.0038343639326727796
0.01,0.01,2,-0.0339788647439625
0.01,0.01,2,0.03155012313037053
0.01,0.01,2,0.009606684719541736
0.01,0.01,2,-0.01016170365741198
0.01,0.01,2,0.002859630349941078
0.01,0.01,2,-0.007862593153938224
0.01,0.01,2,0.01066954866834724
0.01,0.01,2,0.009378235484642339
0.01,0.01,2,0.012751458635196222
0.01,0.01,2,0.00574123935962767
0.01,0.01,2,-0.004404708202908836
0.01,0.01,2,-0.011936480316872888
0.01,0.01,2,0.016521630399878973
0.01,0.01,2,0.0035748438052713993
0.01,0.01,2,-0.0018574987263115794
0.01,0.01,2,0.01701880478144746
0.01,0.01,2,-0.0030698466113894263
0.01,0.01,2,0.04404647560302477
0.01,0.01,2,0.017858030999357677
0.01,0.01,2,0.0018141893992709157
0.01,0.01,2,-0.006636669251729899
0.01,0.01,2,-0.014210606497969902
