alpha,gamma,graph type,entropy
0.01,0.01,modular,35.158482411104345
0.01,0.01,modular,35.026474744930475
0.01,0.01,modular,35.1933691890369
0.01,0.01,modular,35.0099218780128
0.01,0.01,modular,35.39219912670405
0.01,0.01,modular,35.030423237721244
0.01,0.01,modular,35.62203417296514
0.01,0.01,modular,35.38663582242751
0.01,0.01,modular,35.81891868876431
0.01,0.01,modular,35.390542906526726
0.01,0.01,modular,35.18625401053099
0.01,0.01,modular,35.64459663342555
0.01,0.01,modular,35.51772104067399
0.01,0.01,modular,34.96667444068321
0.01,0.01,modular,35.46362804161277
0.01,0.01,modular,35.333258142042226
0.01,0.01,modular,35.25294084264634
0.01,0.01,modular,35.38963586256507
0.01,0.01,modular,35.03533289036974
0.01,0.01,modular,34.85951591616953
0.01,0.01,modular,35.09585666438355
0.01,0.01,modular,35.33615562313597
0.01,0.01,modular,35.33554693416049
0.01,0.01,modular,35.684640174245665
0.01,0.01,modular,35.16784270964406
0.01,0.01,modular,34.86085901463784
0.01,0.01,modular,34.96061559292521
0.01,0.01,modular,35.27292580424282
0.01,0.01,modular,35.36788826648474
0.01,0.01,modular,35.47185051544058
0.01,0.01,modular,35.35431985156958
0.01,0.01,modular,35.45007258698886
0.01,0.01,modular,34.890167812417275
0.01,0.01,modular,35.266430958826135
0.01,0.01,modular,34.88028234236027
0.01,0.01,modular,34.94692057664012
0.01,0.01,modular,35.47097390582619
0.01,0.01,modular,35.083990556027054
0.01,0.01,modular,34.99362223298222
0.01,0.01,modular,34.703740261693994
0.01,0.01,modular,35.618471873257405
0.01,0.01,modular,34.73507152088955
0.01,0.01,modular,35.034672499728984
0.01,0.01,modular,35.19573375098266
0.01,0.01,modular,34.92994636199177
0.01,0.01,modular,34.54989755628813
0.01,0.01,modular,34.93634499228239
0.01,0.01,modular,35.78823310152721
0.01,0.01,modular,35.2345780212988
0.01,0.01,modular,35.495498205739345
0.01,0.01,modular,35.48156251219292
0.01,0.01,modular,35.370335653824284
0.01,0.01,modular,35.75863964999432
0.01,0.01,modular,35.01852938625312
0.01,0.01,modular,35.06644283735033
0.01,0.01,modular,34.84266474399353
0.01,0.01,modular,35.27759763076211
0.01,0.01,modular,35.20772174201568
0.01,0.01,modular,34.95554434643532
0.01,0.01,modular,35.47487733362277
0.01,0.01,modular,35.21314809396036
0.01,0.01,modular,35.14022394038609
0.01,0.01,modular,35.484899518246316
0.01,0.01,modular,35.40863064204454
0.01,0.01,modular,35.13113795377758
0.01,0.01,modular,34.89063007814647
0.01,0.01,modular,35.25994660232054
0.01,0.01,modular,34.950135500986114
0.01,0.01,modular,35.69171330733647
0.01,0.01,modular,35.37763048266365
0.01,0.01,modular,35.24381875123089
0.01,0.01,modular,35.0443621332505
0.01,0.01,modular,35.70680754345322
0.01,0.01,modular,35.17087895559658
0.01,0.01,modular,35.299863058430915
0.01,0.01,modular,35.0872290409106
0.01,0.01,modular,35.07801893203954
0.01,0.01,modular,35.21061164568291
0.01,0.01,modular,34.78228009440329
0.01,0.01,modular,35.00353856329782
0.01,0.01,modular,35.22217191923804
0.01,0.01,modular,35.47601373394464
0.01,0.01,modular,35.02334602402894
0.01,0.01,modular,34.95866297399351
0.01,0.01,modular,35.15317015056124
0.01,0.01,modular,35.186478687454446
