alpha,gamma,graph type,entropy
0.01,0.01,remote,2.119927127451897
0.01,0.01,remote,1.9041305532664947
0.01,0.01,remote,2.105536099646801
0.01,0.01,remote,1.943731359473969
0.01,0.01,remote,2.0029334655175
0.01,0.01,remote,2.03693007671666
0.01,0.01,remote,2.3175247124293965
0.01,0.01,remote,2.0033186321465064
0.01,0.01,remote,1.9984263850614041
0.01,0.01,remote,2.150657458398694
0.01,0.01,remote,1.8486044527101706
0.01,0.01,remote,2.188064631055656
0.01,0.01,remote,2.0795669143134714
0.01,0.01,remote,2.0266817746670385
0.01,0.01,remote,2.1842154627934964
0.01,0.01,remote,1.8049505925553768
0.01,0.01,remote,1.9428199644571928
0.01,0.01,remote,2.1420247195474875
0.01,0.01,remote,1.886457169773492
0.01,0.01,remote,2.2564044250088537
0.01,0.01,remote,2.105820512584625
0.01,0.01,remote,1.8269695564664836
0.01,0.01,remote,2.1587388826421128
0.01,0.01,remote,2.147751192595894
0.01,0.01,remote,2.068743363669385
0.01,0.01,remote,2.089023318377886
0.01,0.01,remote,2.0912649398270444
0.01,0.01,remote,2.2654066937746467
0.01,0.01,remote,2.2215335794131064
0.01,0.01,remote,2.1719224403650066
0.01,0.01,remote,2.020547794726231
0.01,0.01,remote,2.0447431498647286
0.01,0.01,remote,2.119363065392876
0.01,0.01,remote,1.9414520583232089
0.01,0.01,remote,1.9169688975075396
0.01,0.01,remote,2.2503323455094897
0.01,0.01,remote,2.1331324647526952
0.01,0.01,remote,1.8732398219609365
0.01,0.01,remote,2.1604067965542026
0.01,0.01,remote,1.9193148056653637
0.01,0.01,remote,2.187202925146536
0.01,0.01,remote,1.9683067716891856
0.01,0.01,remote,2.0561614781338995
0.01,0.01,remote,2.273534989514606
0.01,0.01,remote,1.9428130184270955
0.01,0.01,remote,1.845750149518787
0.01,0.01,remote,2.15900753008143
0.01,0.01,remote,1.7949234115101478
0.01,0.01,remote,1.9583792392556891
0.01,0.01,remote,2.040559531952014
0.01,0.01,remote,2.0942544968735493
0.01,0.01,remote,1.9364844602900415
0.01,0.01,remote,2.079596888099342
0.01,0.01,remote,2.145407507511479
0.01,0.01,remote,1.9669077480238037
0.01,0.01,remote,1.9732505180146698
0.01,0.01,remote,2.146313071193646
0.01,0.01,remote,1.953348315827788
0.01,0.01,remote,2.090945827969483
